reading_id,city,region,date,aqi,pm25,pm10
1,Delhi,North,2024-01-01,376.8,205.4,320.5
2,Delhi,North,2024-01-02,361.4,195.6,307.2
3,Delhi,North,2024-01-03,356.5,189.1,309.1
4,Delhi,North,2024-01-04,363.7,197.5,308.1
5,Delhi,North,2024-01-05,362.6,198.4,306.8
6,Delhi,North,2024-01-06,339.1,188.7,289.0
7,Delhi,North,2024-01-07,359.8,191.8,315.7
8,Delhi,North,2024-01-08,358.4,195.6,316.8
9,Delhi,North,2024-01-09,356.0,190.0,300.2
10,Delhi,North,2024-01-10,329.0,185.1,277.2
11,Delhi,North,2024-01-11,347.6,195.5,285.6
12,Delhi,North,2024-01-12,362.9,191.3,304.5
13,Delhi,North,2024-01-13,342.0,193.9,301.3
14,Delhi,North,2024-01-14,,,
15,Delhi,North,2024-01-15,363.3,196.8,298.6
16,Delhi,North,2024-01-16,334.9,185.7,298.2
17,Delhi,North,2024-01-17,359.7,195.7,317.2
18,Delhi,North,2024-01-18,359.3,198.0,306.9
19,Delhi,North,2024-01-19,354.9,194.0,293.1
20,Delhi,North,2024-01-20,362.5,199.0,315.3
21,Delhi,North,2024-01-21,352.1,186.0,298.7
22,Delhi,North,2024-01-22,376.9,205.8,315.0
23,Delhi,North,2024-01-23,342.2,184.0,289.1
24,Delhi,North,2024-01-24,342.3,194.3,289.3
25,Delhi,North,2024-01-25,,,
26,Delhi,North,2024-01-26,353.9,196.0,305.2
27,Delhi,North,2024-01-27,354.2,187.7,305.0
28,Delhi,North,2024-01-28,367.2,203.6,306.6
29,Delhi,North,2024-01-29,354.1,192.4,299.2
30,Delhi,North,2024-01-30,372.1,210.8,320.3
31,Delhi,North,2024-01-31,363.1,202.4,308.6
32,Delhi,North,2024-02-01,254.8,137.4,216.2
33,Delhi,North,2024-02-02,282.9,159.1,238.4
34,Delhi,North,2024-02-03,250.1,134.1,214.8
35,Delhi,North,2024-02-04,260.4,137.4,224.3
36,Delhi,North,2024-02-05,248.9,142.6,212.5
37,Delhi,North,2024-02-06,276.4,150.2,233.2
38,Delhi,North,2024-02-07,259.3,146.8,223.8
39,Delhi,North,2024-02-08,240.9,133.2,204.9
40,Delhi,North,2024-02-09,250.6,135.2,223.5
41,Delhi,North,2024-02-10,251.1,134.7,217.3
42,Delhi,North,2024-02-11,257.3,141.2,223.4
43,Delhi,North,2024-02-12,261.6,145.3,228.1
44,Delhi,North,2024-02-13,259.2,140.1,218.1
45,Delhi,North,2024-02-14,249.5,138.1,205.6
46,Delhi,North,2024-02-15,233.8,128.9,190.7
47,Delhi,North,2024-02-16,232.3,129.3,193.2
48,Delhi,North,2024-02-17,261.7,141.8,215.7
49,Delhi,North,2024-02-18,240.8,130.4,203.0
50,Delhi,North,2024-02-19,245.9,134.1,199.8
51,Delhi,North,2024-02-20,255.9,133.6,216.4
52,Delhi,North,2024-02-21,264.1,149.6,234.8
53,Delhi,North,2024-02-22,237.1,133.4,208.8
54,Delhi,North,2024-02-23,267.5,143.4,229.8
55,Delhi,North,2024-02-24,278.1,147.0,239.2
56,Delhi,North,2024-02-25,,,
